node,layer,lat,lon,degree,geometry
51536,5,57.49295,-6.42056,2,"-6.42056, 57.49295"
53582,5,57.43815,-6.63377,2,"-6.63377, 57.43815"
55821,5,57.5873,-6.37653,8,"-6.37653, 57.5873"
62326,5,57.38392,-6.51497,2,"-6.51497, 57.38392"
62652,5,57.33137,-6.34331,4,"-6.34331, 57.33137"
62958,5,57.48233,-6.3036,11,"-6.3036, 57.48233"
63147,5,57.4453,-6.24772,10,"-6.24772, 57.4453"
70541,5,57.35115,-6.44997,2,"-6.44997, 57.35115"
71088,5,57.68164,-6.29232,4,"-6.29232, 57.68164"
75854,5,57.58373,-6.15783,4,"-6.15783, 57.58373"
78939,5,57.46954,-6.53735,6,"-6.53735, 57.46954"
82256,5,57.29034,-6.17441,9,"-6.17441, 57.29034"
90296,5,57.31708,-6.44201,2,"-6.44201, 57.31708"
90298,5,57.66365,-6.25715,2,"-6.25715, 57.66365"
91658,5,57.62641,-6.2066,2,"-6.2066, 57.62641"
94976,5,57.37869,-6.47023,2,"-6.47023, 57.37869"
96083,5,57.48103,-6.30141,10,"-6.30141, 57.48103"
100061,5,57.35677,-6.1378,6,"-6.1378, 57.35677"
100062,5,57.42623,-6.55437,6,"-6.55437, 57.42623"
102753,5,57.31325,-6.1109,8,"-6.1109, 57.31325"
106613,5,57.41736,-6.21006,17,"-6.21006, 57.41736"
106614,5,57.3257,-6.40605,5,"-6.40605, 57.3257"
106616,5,57.42081,-6.21201,9,"-6.21201, 57.42081"
109728,5,57.49516,-6.374,4,"-6.374, 57.49516"
110075,5,57.35592,-6.41744,3,"-6.41744, 57.35592"
111675,5,57.44827,-6.70797,4,"-6.70797, 57.44827"
116416,5,57.38725,-6.19501,5,"-6.19501, 57.38725"
116417,5,57.32015,-6.11325,2,"-6.11325, 57.32015"
127980,5,57.44329,-6.64158,4,"-6.64158, 57.44329"
128990,5,57.63573,-6.37633,2,"-6.37633, 57.63573"
140156,5,57.49011,-6.42547,3,"-6.42547, 57.49011"
140991,5,57.40135,-6.20082,10,"-6.20082, 57.40135"
145867,5,57.63548,-6.37655,2,"-6.37655, 57.63548"
146647,5,57.35658,-6.42081,2,"-6.42081, 57.35658"
150881,5,57.38744,-6.20393,8,"-6.20393, 57.38744"
151481,5,57.41303,-6.19406,29,"-6.19406, 57.41303"
153504,5,57.43805,-6.63373,2,"-6.63373, 57.43805"
153693,5,57.40532,-6.49753,2,"-6.49753, 57.40532"
155946,5,57.40316,-6.20031,10,"-6.20031, 57.40316"
157836,5,57.41471,-6.53694,3,"-6.53694, 57.41471"
159392,5,57.68238,-6.33906,4,"-6.33906, 57.68238"
161011,5,57.38386,-6.51508,3,"-6.51508, 57.38386"
164042,5,57.45484,-6.31854,4,"-6.31854, 57.45484"
164117,5,57.37898,-6.47027,2,"-6.47027, 57.37898"
169531,5,57.4054,-6.49734,2,"-6.49734, 57.4054"
171640,5,57.41474,-6.53664,2,"-6.53664, 57.41474"
173816,5,57.45741,-6.32652,2,"-6.32652, 57.45741"
178743,5,57.40136,-6.20121,2,"-6.20121, 57.40136"
178744,5,57.41608,-6.19631,2,"-6.19631, 57.41608"
178745,5,57.41415,-6.19279,4,"-6.19279, 57.41415"
181843,5,57.35106,-6.44968,2,"-6.44968, 57.35106"
189415,5,57.30096,-6.35181,4,"-6.35181, 57.30096"
191558,5,57.31337,-6.11149,8,"-6.11149, 57.31337"
191621,5,57.42965,-6.1831,5,"-6.1831, 57.42965"
193292,5,57.6268,-6.20785,2,"-6.20785, 57.6268"
199483,5,57.59215,-6.35923,3,"-6.35923, 57.59215"
199626,5,57.38755,-6.20424,9,"-6.20424, 57.38755"
207597,5,57.41278,-6.5324,2,"-6.5324, 57.41278"
211027,5,57.41287,-6.53223,3,"-6.53223, 57.41287"
219030,5,57.5921,-6.35922,3,"-6.35922, 57.5921"
219336,5,57.29879,-6.29277,6,"-6.29277, 57.29879"
221867,5,57.35641,-6.42097,2,"-6.42097, 57.35641"
221868,5,57.43853,-6.23147,9,"-6.23147, 57.43853"
221869,5,57.41266,-6.20124,19,"-6.20124, 57.41266"
224600,5,57.47351,-6.33874,3,"-6.33874, 57.47351"
229757,5,57.45345,-6.29757,2,"-6.29757, 57.45345"
231175,5,57.35611,-6.41741,3,"-6.41741, 57.35611"
231498,5,57.4283,-6.56874,4,"-6.56874, 57.4283"
231499,5,57.42622,-6.55515,3,"-6.55515, 57.42622"
231502,5,57.43725,-6.57202,3,"-6.57202, 57.43725"
231503,5,57.44745,-6.58655,4,"-6.58655, 57.44745"
231504,5,57.46873,-6.43121,4,"-6.43121, 57.46873"
231505,5,57.49015,-6.42588,2,"-6.42588, 57.49015"
231506,5,57.47859,-6.43119,3,"-6.43119, 57.47859"
232693,5,57.66389,-6.25712,2,"-6.25712, 57.66389"
239703,5,57.4529,-6.66095,4,"-6.66095, 57.4529"
241257,5,57.49301,-6.42088,2,"-6.42088, 57.49301"
241258,5,57.49791,-6.40808,2,"-6.40808, 57.49791"
241259,5,57.45752,-6.32631,3,"-6.32631, 57.45752"
241260,5,57.45352,-6.29824,2,"-6.29824, 57.45352"
241261,5,57.49123,-6.35636,3,"-6.35636, 57.49123"
241262,5,57.41682,-6.20995,12,"-6.20995, 57.41682"
241263,5,57.45089,-6.2643,2,"-6.2643, 57.45089"
247289,5,57.303,-6.35649,6,"-6.35649, 57.303"
247977,5,57.47351,-6.33867,2,"-6.33867, 57.47351"
248449,5,57.29044,-6.17425,10,"-6.17425, 57.29044"
258441,5,57.30073,-6.35307,3,"-6.35307, 57.30073"
